pos_date,pos_hour,date_hour,shop_nm,sales_amt,prom_yn
20170619,10,2017061910,A,441.0,N
20170619,10,2017061910,B,220.0,N
20170626,14,2017062614,B,1654.0,Y
20170628,10,2017062810,B,441.0,Y
20170607,11,2017060711,B,330.0,N
20170625,11,2017062511,B,772.0,Y
20170629,22,2017062922,B,1433.0,Y
20170613,12,2017061312,A,220.0,N
20170617,23,2017061723,B,551.0,N
20170601,14,2017060114,B,1323.0,N
20170601,23,2017060123,A,220.0,N
20170602,17,2017060217,B,3419.0,N
20170602,17,2017060217,A,5184.0,N
20170603,10,2017060310,A,661.0,N
20170603,10,2017060310,B,882.0,N
20170604,13,2017060413,B,1433.0,N
20170604,13,2017060413,A,2095.0,N
20170604,22,2017060422,B,2206.0,N
20170604,22,2017060422,A,772.0,N
20170605,16,2017060516,A,1985.0,N
20170605,16,2017060516,B,2647.0,N
20170606,19,2017060619,A,2536.0,N
20170606,19,2017060619,B,1544.0,N
20170607,12,2017060712,B,551.0,N
20170607,21,2017060721,A,1323.0,N
20170607,21,2017060721,B,1323.0,N
20170607,12,2017060712,A,772.0,N
20170608,15,2017060815,B,1323.0,N
20170608,15,2017060815,A,330.0,N
20170609,18,2017060918,A,3750.0,N
20170609,18,2017060918,B,4081.0,N
20170610,14,2017061014,A,2536.0,N
20170610,14,2017061014,B,2536.0,N
20170611,17,2017061117,B,1433.0,N
20170611,17,2017061117,A,2095.0,N
20170613,22,2017061322,B,1875.0,N
20170613,22,2017061322,A,1654.0,N
20170613,13,2017061313,A,1103.0,N
20170613,13,2017061313,B,1433.0,N
20170614,16,2017061416,A,882.0,N
20170614,16,2017061416,B,1654.0,N
20170615,19,2017061519,B,2647.0,N
20170615,19,2017061519,A,2095.0,N
20170616,12,2017061612,B,1482.0,N
20170616,21,2017061621,A,2280.0,N
20170616,21,2017061621,B,2479.0,N
20170616,12,2017061612,A,4081.0,N
20170617,15,2017061715,A,1966.0,N
20170617,15,2017061715,B,1995.0,N
20170618,18,2017061818,A,4081.0,N
20170618,18,2017061818,B,3529.0,N
20170619,20,2017061920,A,1567.0,N
20170619,20,2017061920,B,2206.0,N
20170620,17,2017062017,B,4522.0,N
20170620,17,2017062017,A,4853.0,N
20170621,10,2017062110,A,220.0,N
20170622,13,2017062213,A,2757.0,N
20170622,13,2017062213,B,2647.0,N
20170622,22,2017062222,A,2316.0,N
20170623,16,2017062316,A,3750.0,N
20170623,16,2017062316,B,2095.0,N
20170624,19,2017062419,A,4412.0,N
20170624,19,2017062419,B,2052.0,N
20170625,12,2017062512,A,2095.0,Y
20170625,21,2017062521,B,2206.0,Y
20170625,12,2017062512,B,772.0,Y
20170625,21,2017062521,A,4522.0,Y
20170626,15,2017062615,A,3309.0,Y
20170626,15,2017062615,B,2757.0,Y
20170627,18,2017062718,A,3529.0,Y
20170627,18,2017062718,B,2426.0,Y
20170628,20,2017062820,A,3309.0,Y
20170628,20,2017062820,B,2095.0,Y
20170629,14,2017062914,A,2536.0,Y
20170629,14,2017062914,B,1544.0,Y
20170630,10,2017063010,A,220.0,Y
20170601,14,2017060114,A,441.0,N
20170612,10,2017061210,B,220.0,N
20170612,10,2017061210,A,772.0,N
20170619,11,2017061911,B,661.0,N
20170622,22,2017062222,B,992.0,N
20170628,11,2017062811,B,551.0,Y
20170629,23,2017062923,A,220.0,Y
20170630,10,2017063010,B,661.0,Y
20170619,11,2017061911,A,330.0,N
20170621,10,2017062110,B,551.0,N
20170628,11,2017062811,A,441.0,Y
20170601,15,2017060115,B,1544.0,N
20170601,15,2017060115,A,1544.0,N
20170602,18,2017060218,B,3419.0,N
20170602,18,2017060218,A,3639.0,N
20170603,20,2017060320,A,5073.0,N
20170603,20,2017060320,B,2316.0,N
20170603,11,2017060311,B,1103.0,N
20170603,11,2017060311,A,330.0,N
20170604,14,2017060414,A,2426.0,N
20170604,14,2017060414,B,2536.0,N
20170605,17,2017060517,B,2095.0,N
20170605,17,2017060517,A,2647.0,N
20170606,10,2017060610,A,551.0,N
20170607,13,2017060713,A,1544.0,N
20170607,13,2017060713,B,1323.0,N
20170607,22,2017060722,B,1433.0,N
20170607,22,2017060722,A,992.0,N
20170608,16,2017060816,A,1875.0,N
20170608,16,2017060816,B,2095.0,N
20170609,19,2017060919,A,3529.0,N
20170609,19,2017060919,B,3088.0,N
20170610,15,2017061015,A,3860.0,N
20170610,15,2017061015,B,2426.0,N
20170611,18,2017061118,A,3419.0,N
20170611,18,2017061118,B,2095.0,N
20170612,20,2017061220,B,1654.0,N
20170612,20,2017061220,A,3419.0,N
20170612,11,2017061211,A,220.0,N
20170613,14,2017061314,A,661.0,N
20170614,17,2017061417,A,1323.0,N
20170614,17,2017061417,B,2647.0,N
20170615,10,2017061510,A,882.0,N
20170616,22,2017061622,A,1738.0,N
20170616,22,2017061622,B,1738.0,N
20170616,13,2017061613,A,4301.0,N
20170616,13,2017061613,B,4853.0,N
20170617,16,2017061716,A,2166.0,N
20170617,16,2017061716,B,2023.0,N
20170618,19,2017061819,A,1985.0,N
20170618,19,2017061819,B,2867.0,N
20170619,21,2017061921,A,3309.0,N
20170619,12,2017061912,A,772.0,N
20170619,21,2017061921,B,1875.0,N
20170619,12,2017061912,B,1433.0,N
20170620,18,2017062018,A,4301.0,N
20170620,18,2017062018,B,2647.0,N
20170621,11,2017062111,A,0.0,N
20170621,20,2017062120,A,1510.0,N
20170621,20,2017062120,B,2867.0,N
20170621,11,2017062111,B,882.0,N
20170622,23,2017062223,A,1323.0,N
20170622,14,2017062214,A,1764.0,N
20170622,14,2017062214,B,2206.0,N
20170623,17,2017062317,A,3860.0,N
20170623,17,2017062317,B,2867.0,N
20170625,13,2017062513,B,772.0,Y
20170625,22,2017062522,A,1764.0,Y
20170625,13,2017062513,A,2206.0,Y
20170625,22,2017062522,B,1544.0,Y
20170626,16,2017062616,A,2316.0,Y
20170626,16,2017062616,B,1654.0,Y
20170627,19,2017062719,B,2426.0,Y
20170627,19,2017062719,A,2206.0,Y
20170628,21,2017062821,B,1654.0,Y
20170628,12,2017062812,B,1764.0,Y
20170628,21,2017062821,A,3198.0,Y
20170628,12,2017062812,A,1433.0,Y
20170629,15,2017062915,A,1875.0,Y
20170629,15,2017062915,B,1323.0,Y
20170630,20,2017063020,A,2867.0,Y
20170630,20,2017063020,B,2316.0,Y
20170630,11,2017063011,A,551.0,Y
20170606,10,2017060610,B,110.0,N
20170612,11,2017061211,B,441.0,N
20170613,14,2017061314,B,1213.0,N
20170615,10,2017061510,B,330.0,N
20170624,10,2017062410,B,661.0,N
20170624,10,2017062410,A,441.0,N
20170630,11,2017063011,B,330.0,Y
20170601,16,2017060116,B,2095.0,N
20170601,16,2017060116,A,1213.0,N
20170602,19,2017060219,A,4191.0,N
20170602,19,2017060219,B,3970.0,N
20170603,12,2017060312,B,1764.0,N
20170603,21,2017060321,A,3309.0,N
20170603,12,2017060312,A,772.0,N
20170603,21,2017060321,B,3309.0,N
20170604,15,2017060415,B,2647.0,N
20170604,15,2017060415,A,2536.0,N
20170605,18,2017060518,B,3198.0,N
20170605,18,2017060518,A,3970.0,N
20170606,20,2017060620,A,1323.0,N
20170606,11,2017060611,A,441.0,N
20170607,14,2017060714,B,661.0,N
20170607,14,2017060714,A,1433.0,N
20170608,17,2017060817,A,2647.0,N
20170608,17,2017060817,B,1985.0,N
20170609,10,2017060910,B,441.0,N
20170610,16,2017061016,B,4081.0,N
20170610,16,2017061016,A,2316.0,N
20170611,19,2017061119,A,3309.0,N
20170611,19,2017061119,B,2095.0,N
20170612,21,2017061221,B,1764.0,N
20170612,12,2017061212,B,1213.0,N
20170612,21,2017061221,A,1875.0,N
20170612,12,2017061212,A,882.0,N
20170613,15,2017061315,B,2426.0,N
20170613,15,2017061315,A,1213.0,N
20170614,18,2017061418,A,2316.0,N
20170614,18,2017061418,B,2867.0,N
20170615,20,2017061520,A,2316.0,N
20170615,20,2017061520,B,2206.0,N
20170616,14,2017061614,B,4963.0,N
20170616,14,2017061614,A,3419.0,N
20170617,17,2017061717,B,2251.0,N
